Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5523,333,157,2301,0.961,0.963,0.962,0.9411,0.1264,0.0276,0.986,0.883
Van,533,49,30,7702,0.952,0.952,0.952,0.9905,0.0063,0.0533,0.977,0.868
Truck,187,8,11,8108,0.971,0.939,0.9547,0.9977,0.001,0.0556,0.978,0.886
Pedestrian,790,116,106,7302,0.922,0.837,0.8774,0.9733,0.0156,0.1183,0.913,0.585
Person_sitting,23,10,7,8274,0.754,0.733,0.7434,0.998,0.0012,0.2333,0.741,0.574
Cyclist,278,41,28,7967,0.92,0.895,0.9073,0.9917,0.0051,0.0915,0.946,0.755
Tram,95,7,4,8208,0.919,0.949,0.9338,0.9987,0.0009,0.0404,0.959,0.84
Overall,7429,564,343,49862,0.9141428571428573,0.8954285714285712,0.9043714285714286,0.9844285714285714,0.02235714285714286,0.08857142857142856,0.9285714285714285,0.7701428571428571
