Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5557,295,123,2244,0.966,0.968,0.967,0.9491,0.1162,0.0217,0.987,0.915
Van,549,27,14,7629,0.968,0.957,0.9625,0.995,0.0035,0.0249,0.986,0.911
Truck,188,4,10,8017,0.989,0.944,0.966,0.9983,0.0005,0.0505,0.981,0.929
Pedestrian,807,85,89,7238,0.938,0.85,0.8918,0.9788,0.0116,0.0993,0.923,0.615
Person_sitting,25,7,5,8182,0.817,0.8,0.8084,0.9985,0.0009,0.1667,0.83,0.635
Cyclist,280,29,26,7884,0.939,0.898,0.918,0.9933,0.0037,0.085,0.949,0.807
Tram,96,8,3,8112,0.958,0.97,0.964,0.9987,0.001,0.0303,0.973,0.893
Overall,7502,455,270,49306,0.9392857142857143,0.9124285714285714,0.9253857142857144,0.9873857142857144,0.019628571428571433,0.06834285714285714,0.947,0.8150000000000001
