Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5518,333,162,2329,0.961,0.964,0.9625,0.9407,0.1251,0.0285,0.983,0.878
Van,534,43,29,7736,0.949,0.947,0.948,0.9914,0.0055,0.0515,0.976,0.862
Truck,188,11,10,8133,0.963,0.926,0.9441,0.9975,0.0014,0.0505,0.979,0.887
Pedestrian,791,148,105,7298,0.916,0.839,0.8758,0.9697,0.0199,0.1172,0.909,0.586
Person_sitting,26,13,4,8299,0.8,0.802,0.801,0.998,0.0016,0.1333,0.861,0.613
Cyclist,276,34,30,8002,0.921,0.886,0.9032,0.9923,0.0042,0.098,0.945,0.751
Tram,95,8,4,8235,0.95,0.95,0.95,0.9986,0.001,0.0404,0.966,0.852
Overall,7428,590,344,50032,0.9228571428571428,0.902,0.9120857142857143,0.9840285714285714,0.02267142857142857,0.0742,0.9455714285714286,0.7755714285714286
