Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5536,367,144,2347,0.959,0.965,0.962,0.9391,0.1352,0.0254,0.987,0.88
Van,539,40,24,7791,0.952,0.956,0.954,0.9924,0.0051,0.0426,0.982,0.866
Truck,186,9,12,8187,0.974,0.941,0.9572,0.9975,0.0011,0.0606,0.973,0.881
Pedestrian,787,139,109,7359,0.933,0.83,0.8785,0.9705,0.0185,0.1217,0.907,0.572
Person_sitting,26,13,4,8351,0.751,0.867,0.8048,0.998,0.0016,0.1333,0.817,0.589
Cyclist,281,56,25,8032,0.917,0.895,0.9059,0.9904,0.0069,0.0817,0.944,0.741
Tram,94,13,5,8282,0.914,0.949,0.9312,0.9979,0.0016,0.0505,0.951,0.816
Overall,7449,637,323,50349,0.9142857142857143,0.9147142857142855,0.9133714285714285,0.9836857142857143,0.024285714285714275,0.07368571428571427,0.9372857142857142,0.7635714285714286
