Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5558,285,122,2235,0.96,0.974,0.9669,0.9504,0.1131,0.0215,0.987,0.92
Van,545,31,18,7606,0.961,0.964,0.9625,0.994,0.0041,0.032,0.986,0.917
Truck,189,6,9,7996,0.972,0.944,0.9578,0.9982,0.0007,0.0455,0.981,0.927
Pedestrian,806,78,90,7226,0.929,0.877,0.9023,0.9795,0.0107,0.1004,0.921,0.625
Person_sitting,23,7,7,8163,0.788,0.767,0.7774,0.9983,0.0009,0.2333,0.864,0.699
Cyclist,283,26,23,7868,0.933,0.915,0.9239,0.994,0.0033,0.0752,0.951,0.814
Tram,95,5,4,8096,0.962,0.949,0.9555,0.9989,0.0006,0.0404,0.97,0.894
Overall,7499,438,273,49190,0.9292857142857143,0.9128571428571428,0.9208999999999998,0.9876142857142856,0.01905714285714286,0.07832857142857143,0.9514285714285713,0.8280000000000001
