Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5529,417,151,2367,0.961,0.959,0.96,0.9329,0.1498,0.0266,0.985,0.88
Van,543,50,20,7851,0.953,0.954,0.9535,0.9917,0.0063,0.0355,0.98,0.863
Truck,189,11,9,8255,0.967,0.955,0.961,0.9976,0.0013,0.0455,0.98,0.891
Pedestrian,783,160,113,7408,0.941,0.794,0.8613,0.9677,0.0211,0.1261,0.904,0.578
Person_sitting,22,13,8,8421,0.793,0.638,0.7071,0.9975,0.0015,0.2667,0.759,0.544
Cyclist,277,50,29,8108,0.918,0.881,0.8991,0.9907,0.0061,0.0948,0.939,0.736
Tram,97,15,2,8350,0.907,0.949,0.9275,0.998,0.0018,0.0202,0.958,0.844
Overall,7440,716,332,50760,0.9199999999999999,0.8757142857142857,0.8956428571428571,0.9823000000000001,0.02684285714285714,0.08791428571428571,0.9292857142857143,0.7622857142857143
