Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5461,571,219,2462,0.966,0.938,0.9518,0.9093,0.1883,0.0386,0.981,0.814
Van,532,113,31,8037,0.953,0.948,0.9505,0.9835,0.0139,0.0551,0.972,0.784
Truck,186,34,12,8481,0.968,0.924,0.9455,0.9947,0.004,0.0606,0.971,0.799
Pedestrian,770,183,126,7634,0.932,0.786,0.8528,0.9645,0.0234,0.1406,0.887,0.514
Person_sitting,20,17,10,8666,0.726,0.633,0.6763,0.9969,0.002,0.3333,0.747,0.473
Cyclist,280,55,26,8352,0.95,0.866,0.9061,0.9907,0.0065,0.085,0.943,0.662
Tram,95,16,4,8598,0.939,0.929,0.934,0.9977,0.0019,0.0404,0.951,0.738
Overall,7344,989,428,52230,0.9191428571428572,0.8605714285714285,0.8881428571428572,0.976757142857143,0.03428571428571429,0.10765714285714285,0.9217142857142856,0.6834285714285713
