               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.029421,            0.038053,           0.0029511,              0.8837,             0.83177,             0.88845,             0.59888,             0.02543,            0.059383,           0.0025988,           0.0082675,           0.0082675,           0.0082675
                  37,            0.029284,            0.038351,           0.0028618,             0.90873,             0.80082,             0.87559,              0.5916,            0.025302,            0.059306,           0.0025682,            0.008218,            0.008218,            0.008218
                  38,            0.029046,            0.037789,           0.0028461,             0.86819,              0.8545,             0.89132,             0.60079,            0.025115,            0.058367,           0.0024401,           0.0081685,           0.0081685,           0.0081685
                  39,            0.029119,            0.037458,            0.002851,             0.90561,             0.79683,             0.88303,             0.59522,            0.025618,             0.05935,           0.0027152,            0.008119,            0.008119,            0.008119
                  40,             0.02869,            0.038167,           0.0026918,             0.88775,             0.82906,             0.88397,             0.60044,            0.025229,            0.058064,           0.0025291,           0.0080695,           0.0080695,           0.0080695
                  41,            0.028778,            0.037548,           0.0027231,             0.85636,             0.82975,             0.88762,             0.59215,            0.024956,            0.057704,           0.0026131,             0.00802,             0.00802,             0.00802
                  42,             0.02883,            0.037503,           0.0026787,             0.89483,             0.82557,             0.90432,             0.61252,            0.024754,            0.057463,           0.0024955,           0.0079705,           0.0079705,           0.0079705
                  43,            0.028678,            0.038284,           0.0026665,             0.88223,              0.8281,             0.88332,             0.60353,            0.024853,             0.05774,           0.0025868,            0.007921,            0.007921,            0.007921
                  44,             0.02831,            0.037846,           0.0026422,             0.87807,             0.85614,              0.9058,             0.61568,            0.024726,             0.05736,            0.002249,           0.0078715,           0.0078715,           0.0078715
                  45,             0.02854,            0.037276,           0.0027095,             0.88565,             0.83762,             0.90392,             0.62204,            0.024334,            0.056174,           0.0023754,            0.007822,            0.007822,            0.007822
                  46,            0.028214,            0.037127,           0.0026333,              0.8903,             0.84816,              0.9042,             0.62084,            0.024401,            0.056818,           0.0022123,           0.0077725,           0.0077725,           0.0077725
                  47,            0.028139,            0.037054,             0.00257,             0.89629,             0.82176,             0.89877,              0.6082,            0.024236,            0.056568,           0.0023312,            0.007723,            0.007723,            0.007723
                  48,             0.02822,            0.037704,           0.0025889,             0.88226,             0.83287,             0.89581,             0.62699,            0.024136,            0.056087,           0.0023504,           0.0076735,           0.0076735,           0.0076735
                  49,             0.02778,            0.037207,           0.0024894,             0.89681,             0.81885,             0.88566,             0.60875,            0.024312,            0.056523,           0.0024586,            0.007624,            0.007624,            0.007624
                  50,            0.027624,            0.036824,           0.0025466,             0.87284,             0.85102,             0.88633,             0.60909,            0.024237,            0.056134,           0.0023831,           0.0075745,           0.0075745,           0.0075745
                  51,             0.02788,             0.03611,           0.0025183,             0.91581,              0.8265,             0.90468,             0.62516,            0.023857,            0.055178,           0.0020597,            0.007525,            0.007525,            0.007525
                  52,            0.027483,            0.035379,           0.0024238,             0.87784,             0.85378,             0.90514,             0.62369,            0.023966,            0.056543,           0.0022424,           0.0074755,           0.0074755,           0.0074755
                  53,             0.02761,            0.036803,           0.0024709,             0.89784,             0.83783,             0.90498,             0.63384,            0.023765,            0.055974,           0.0021878,            0.007426,            0.007426,            0.007426
                  54,            0.027451,            0.036344,           0.0024598,             0.89851,             0.86138,              0.9151,              0.6364,            0.023596,            0.055286,           0.0020618,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027492,            0.036457,            0.002433,             0.88285,             0.86631,             0.90693,             0.63583,            0.023562,            0.055445,           0.0020507,            0.007327,            0.007327,            0.007327
                  56,            0.027411,            0.036138,           0.0024451,              0.9007,             0.86426,             0.91749,             0.63789,            0.023506,            0.054669,           0.0021325,           0.0072775,           0.0072775,           0.0072775
                  57,             0.02723,             0.03594,           0.0023622,             0.90758,             0.85149,             0.91335,             0.63853,            0.023456,            0.054738,           0.0020463,            0.007228,            0.007228,            0.007228
                  58,            0.027159,             0.03558,           0.0023868,             0.90434,             0.84474,               0.916,             0.63802,            0.023505,            0.055237,           0.0021306,           0.0071785,           0.0071785,           0.0071785
                  59,            0.027192,            0.035972,           0.0022768,             0.89929,             0.84642,             0.90945,             0.63851,            0.023472,            0.055318,           0.0021006,            0.007129,            0.007129,            0.007129
                  60,            0.026991,            0.036012,            0.002394,             0.92655,             0.81781,             0.91153,             0.64325,            0.023097,             0.05441,           0.0019863,           0.0070795,           0.0070795,           0.0070795
                  61,            0.027135,            0.036021,           0.0022733,             0.92966,             0.83234,             0.90883,             0.64593,            0.023143,            0.054385,            0.002045,             0.00703,             0.00703,             0.00703
                  62,             0.02698,            0.035717,           0.0022995,             0.88113,             0.84955,             0.90666,             0.63597,            0.023396,            0.054443,           0.0019667,           0.0069805,           0.0069805,           0.0069805
