Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5530,350,150,2331,0.962,0.964,0.963,0.9402,0.1305,0.0264,0.984,0.879
Van,536,43,27,7755,0.958,0.954,0.956,0.9916,0.0055,0.048,0.974,0.862
Truck,189,13,9,8150,0.957,0.944,0.9505,0.9974,0.0016,0.0455,0.979,0.877
Pedestrian,798,147,98,7318,0.936,0.822,0.8753,0.9707,0.0197,0.1094,0.913,0.583
Person_sitting,26,12,4,8319,0.796,0.833,0.8141,0.9981,0.0014,0.1333,0.847,0.583
Cyclist,277,37,29,8018,0.937,0.889,0.9124,0.9921,0.0046,0.0948,0.944,0.753
Tram,94,9,5,8253,0.946,0.949,0.9475,0.9983,0.0011,0.0505,0.963,0.851
Overall,7450,611,322,50144,0.9274285714285714,0.9078571428571429,0.9169714285714284,0.9840571428571427,0.023485714285714283,0.07255714285714286,0.9434285714285713,0.7697142857142858
