Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5540,285,140,2259,0.959,0.969,0.964,0.9483,0.112,0.0246,0.986,0.91
Van,539,39,24,7622,0.954,0.956,0.955,0.9923,0.0051,0.0426,0.982,0.908
Truck,185,4,13,8022,0.984,0.929,0.9557,0.9979,0.0005,0.0657,0.985,0.92
Pedestrian,811,100,85,7228,0.92,0.885,0.9022,0.9775,0.0136,0.0949,0.925,0.609
Person_sitting,26,8,4,8186,0.771,0.833,0.8008,0.9985,0.001,0.1333,0.794,0.598
Cyclist,280,26,26,7892,0.934,0.912,0.9229,0.9937,0.0033,0.085,0.95,0.797
Tram,95,9,4,8116,0.941,0.958,0.9494,0.9984,0.0011,0.0404,0.97,0.885
Overall,7476,471,296,49325,0.9232857142857143,0.9202857142857143,0.9214285714285715,0.986657142857143,0.019514285714285713,0.06949999999999999,0.9417142857142858,0.8038571428571428
