,Car,Van,Truck,Pedestrian,Person_sitting,Cyclist,Tram,Background
Car,0.954225352112676,0.0,0.0,0.0,0.0,0.0,0.0,0.045774647887323945
Van,0.0,0.9200710479573713,0.0,0.0,0.0,0.0,0.0,0.07992895204262877
Truck,0.0,0.0,0.8838383838383839,0.0,0.0,0.0,0.0,0.11616161616161616
Pedestrian,0.0,0.0,0.0,0.8102678571428571,0.0,0.0,0.0,0.18973214285714285
Person_sitting,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3
Cyclist,0.0,0.0,0.0,0.0,0.0,0.8202614379084967,0.0,0.17973856209150327
Tram,0.0,0.0,0.0,0.0,0.0,0.0,0.9595959595959596,0.04040404040404041
Background,0.42508038585209,0.09172756503946214,0.015434083601286173,0.33838059047062263,0.04881613563285589,0.06617947968430284,0.014381759719380298,0.0
