Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5526,321,154,2336,0.967,0.959,0.963,0.943,0.1208,0.0271,0.984,0.881
Van,541,41,22,7733,0.964,0.945,0.9544,0.9924,0.0053,0.0391,0.979,0.87
Truck,189,9,9,8130,0.97,0.944,0.9568,0.9978,0.0011,0.0455,0.976,0.89
Pedestrian,792,140,104,7301,0.939,0.811,0.8703,0.9707,0.0188,0.1161,0.912,0.583
Person_sitting,25,11,5,8296,0.817,0.745,0.7793,0.9981,0.0013,0.1667,0.813,0.568
Cyclist,279,50,27,7981,0.927,0.882,0.9039,0.9908,0.0062,0.0882,0.942,0.752
Tram,95,8,4,8230,0.943,0.949,0.946,0.9986,0.001,0.0404,0.961,0.843
Overall,7447,580,325,50007,0.9324285714285713,0.8907142857142857,0.9105285714285714,0.9844857142857143,0.022071428571428575,0.07472857142857144,0.9381428571428572,0.7695714285714287
