epoch,train/box_loss,train/cls_loss,train/total_loss,val/box_loss,val/cls_loss,val/total_loss,metrics/mAP50-95,metrics/mAP50,metrics/mAP75,metrics/AR
0,4.071513175645614,0.6249574190951923,4.6964705947408065,4.071513175645614,0.6249574190951923,4.6964705947408065,0.012893639011172768,0.039218729687837295,0.004643525914363233,0.12131348890592239
1,2.861960351148391,0.42348833489704896,3.28544868604544,2.861960351148391,0.42348833489704896,3.28544868604544,0.05504582082048088,0.12534148448879762,0.03674183858374811,0.22696165526353979
2,2.2041941654873405,0.3315840128829135,2.535778178370254,2.2041941654873405,0.3315840128829135,2.535778178370254,0.11722411774306886,0.23318233046240108,0.10580645416184652,0.2970538940493073
3,1.9613567856862584,0.2572337481228107,2.2185905338090692,1.9613567856862584,0.2572337481228107,2.2185905338090692,0.1524111959212416,0.3061366543346174,0.13857654348863366,0.3482681881121393
4,1.5621591479701793,0.21174934189667038,1.7739084898668498,1.5621591479701793,0.21174934189667038,1.7739084898668498,0.21235271162143593,0.3916554981894623,0.2008780597616304,0.454378965590111
5,1.4262482098398361,0.19729881769514337,1.6235470275349795,1.4262482098398361,0.19729881769514337,1.6235470275349795,0.2334677327252758,0.41218721622039717,0.24222062508462433,0.4428296497883523
6,1.2496114444923911,0.19495834597451164,1.4445697904669028,1.2496114444923911,0.19495834597451164,1.4445697904669028,0.26931281620368674,0.4677541065948067,0.27902193025876487,0.48131566249246194
7,1.0943752798963995,0.15502454907219995,1.2493998289685995,1.0943752798963995,0.15502454907219995,1.2493998289685995,0.3188301470772659,0.5377512097646722,0.3296318765702612,0.5042185799363088
8,1.0452659992690392,0.15616576974205473,1.2014317690110938,1.0452659992690392,0.15616576974205473,1.2014317690110938,0.344102979649385,0.5699434327188173,0.36336803004823615,0.5309499080797959
9,1.0507090473398168,0.13394877380307982,1.1846578211428966,1.0507090473398168,0.13394877380307982,1.1846578211428966,0.36067348437984537,0.5830702863685904,0.3878728301086306,0.5321634424925445
10,0.9185254663069617,0.11734931231700482,1.0358747786239666,0.9185254663069617,0.11734931231700482,1.0358747786239666,0.40591371350547495,0.6432671432046104,0.44994394814108285,0.5707273773339107
11,0.9499916337071893,0.11927705499677256,1.069268688703962,0.9499916337071893,0.11927705499677256,1.069268688703962,0.3938360096825766,0.6243562287064397,0.4305991205397244,0.5666874609015025
12,0.8678355528948142,0.108515891385947,0.9763514442807611,0.8678355528948142,0.108515891385947,0.9763514442807611,0.4323016432681677,0.6639087337648133,0.4767942910002085,0.5976307036362231
13,0.9425304862745305,0.1373446231189976,1.0798751093935282,0.9425304862745305,0.1373446231189976,1.0798751093935282,0.4044838604339918,0.6542414315755721,0.4271105784456484,0.5613013542785842
14,0.8087065903380274,0.10066074587374846,0.9093673362117758,0.8087065903380274,0.10066074587374846,0.9093673362117758,0.4478062489744379,0.7053212633833557,0.4913216542575225,0.5947641446964075
15,0.8212996404119991,0.11550204726782712,0.9368016876798262,0.8212996404119991,0.11550204726782712,0.9368016876798262,0.4384445719625078,0.6830447375352717,0.48172862137802613,0.594937831727654
16,0.7719170575473397,0.0958011486034661,0.8677182061508059,0.7719170575473397,0.0958011486034661,0.8677182061508059,0.46995416404663864,0.7149657094894786,0.5223987950107014,0.6165336215892159
17,0.7943252793607865,0.09606749244671774,0.8903927718075042,0.7943252793607865,0.09606749244671774,0.8903927718075042,0.4795063106746421,0.728014082640874,0.5286931449994028,0.608195323480601
18,0.7231538027604634,0.0892052758412864,0.8123590786017498,0.7231538027604634,0.0892052758412864,0.8123590786017498,0.49824806512876096,0.7432020455945263,0.5528576143957014,0.6187198454904341
19,0.7510414902857918,0.10023284627044982,0.8512743365562416,0.7510414902857918,0.10023284627044982,0.8512743365562416,0.4783289092927385,0.7259127473609512,0.5322434645414241,0.6139037821596225
20,0.7207476416811904,0.09428841780427903,0.8150360594854694,0.7207476416811904,0.09428841780427903,0.8150360594854694,0.49394518538256293,0.7343162347444709,0.5506629964758679,0.6243753155689336
21,0.7892707155190687,0.11429602196714019,0.9035667374862089,0.7892707155190687,0.11429602196714019,0.9035667374862089,0.485183589545204,0.7280148957334581,0.5476562163985034,0.6040578024404067
22,0.7049110332394347,0.0863973896646683,0.791308422904103,0.7049110332394347,0.0863973896646683,0.791308422904103,0.5130391762984713,0.7614214164362443,0.5820898481987784,0.6291981817126371
23,0.6727535588975577,0.11165212707364941,0.7844056859712072,0.6727535588975577,0.11165212707364941,0.7844056859712072,0.5050906430956531,0.7486839814476938,0.5570306332820674,0.6364652294392928
24,0.6904157371046071,0.10106448693957956,0.7914802240441867,0.6904157371046071,0.10106448693957956,0.7914802240441867,0.5057974257500921,0.7449783388228585,0.5715350818989259,0.6279366204426964
25,0.6687254521019638,0.0880136423710644,0.7567390944730281,0.6687254521019638,0.0880136423710644,0.7567390944730281,0.5271732781076515,0.7768634412870751,0.5949968902356635,0.6397088090183922
26,0.6845813148859191,0.09045884501497774,0.7750401599008968,0.6845813148859191,0.09045884501497774,0.7750401599008968,0.5353182840044944,0.7838586853357511,0.6026080594056459,0.6372447411344369
27,0.6392441049297863,0.08367841069232972,0.7229225156221161,0.6392441049297863,0.08367841069232972,0.7229225156221161,0.5458100522955773,0.7884776848620069,0.605216212036055,0.6498123990189443
28,0.6501695420493416,0.0876411515571934,0.7378106936065351,0.6501695420493416,0.0876411515571934,0.7378106936065351,0.5356799379098787,0.7739711413293403,0.5957134703963347,0.6438235019291981
29,0.6686343769219151,0.09848295695604109,0.7671173338779562,0.6686343769219151,0.09848295695604109,0.7671173338779562,0.5333429770067747,0.7792807386187607,0.5818168061619788,0.6348747953560006
