Class,TP,FP,FN,Precision,Recall,F1,FPR,FNR
Car,5420,7271,260,0.42707430462532503,0.954225352112676,0.5900604213162048,0.572925695374675,0.045774647887323945
Van,518,1569,45,0.24820316243411594,0.9200710479573713,0.3909433962264151,0.751796837565884,0.07992895204262877
Truck,175,264,23,0.39863325740318906,0.8838383838383839,0.5494505494505495,0.6013667425968109,0.11616161616161616
Pedestrian,726,5788,170,0.11145225667792447,0.8102678571428571,0.19595141700404856,0.8885477433220755,0.18973214285714285
Person_sitting,21,835,9,0.02453271028037383,0.7,0.0474040632054176,0.9754672897196262,0.3
Cyclist,251,1132,55,0.18148951554591466,0.8202614379084967,0.29721728833629363,0.8185104844540854,0.17973856209150327
Tram,95,246,4,0.2785923753665689,0.9595959595959596,0.43181818181818177,0.7214076246334311,0.04040404040404041
Overall,7206,17105,566,0.2964090329480482,0.9271744724652599,0.44920986192064327,0.7035909670519518,0.07282552753474009
