Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5559,301,121,2262,0.959,0.973,0.9659,0.9488,0.1174,0.0213,0.989,0.917
Van,545,29,18,7651,0.957,0.96,0.9585,0.9943,0.0038,0.032,0.984,0.907
Truck,191,5,7,8040,0.99,0.952,0.9706,0.9985,0.0006,0.0354,0.99,0.934
Pedestrian,811,105,85,7242,0.917,0.876,0.896,0.977,0.0143,0.0949,0.918,0.609
Person_sitting,25,6,5,8207,0.8,0.8,0.8,0.9987,0.0007,0.1667,0.823,0.649
Cyclist,281,29,25,7908,0.93,0.915,0.9224,0.9934,0.0037,0.0817,0.951,0.798
Tram,95,9,4,8135,0.947,0.96,0.9535,0.9984,0.0011,0.0404,0.965,0.888
Overall,7507,484,265,49445,0.9285714285714285,0.9194285714285714,0.9238428571428571,0.9870142857142857,0.02022857142857143,0.06748571428571427,0.9457142857142857,0.8145714285714286
