Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5554,289,126,2332,0.968,0.963,0.9655,0.95,0.1103,0.0222,0.985,0.918
Van,541,37,22,7701,0.966,0.946,0.9559,0.9929,0.0048,0.0391,0.98,0.914
Truck,190,10,8,8093,0.981,0.919,0.949,0.9978,0.0012,0.0404,0.982,0.924
Pedestrian,820,159,76,7246,0.948,0.859,0.9013,0.9717,0.0215,0.0848,0.93,0.622
Person_sitting,25,9,5,8262,0.778,0.733,0.7548,0.9983,0.0011,0.1667,0.764,0.623
Cyclist,283,35,23,7960,0.949,0.908,0.928,0.993,0.0044,0.0752,0.952,0.815
Tram,95,7,4,8195,0.954,0.929,0.9413,0.9987,0.0009,0.0404,0.956,0.884
Overall,7508,546,264,49789,0.9348571428571428,0.8938571428571429,0.9136857142857143,0.986057142857143,0.0206,0.06697142857142856,0.9355714285714285,0.8142857142857144
