Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5544,295,136,2254,0.97,0.963,0.9665,0.9476,0.1157,0.0239,0.988,0.909
Van,542,35,21,7631,0.96,0.95,0.955,0.9932,0.0046,0.0373,0.979,0.892
Truck,186,9,12,8022,0.973,0.944,0.9583,0.9974,0.0011,0.0606,0.987,0.913
Pedestrian,808,87,88,7246,0.942,0.804,0.8675,0.9787,0.0119,0.0982,0.917,0.604
Person_sitting,22,13,8,8186,0.749,0.667,0.7056,0.9974,0.0016,0.2667,0.772,0.607
Cyclist,279,26,27,7897,0.954,0.888,0.9198,0.9936,0.0033,0.0882,0.947,0.792
Tram,96,8,3,8122,0.958,0.96,0.959,0.9987,0.001,0.0303,0.969,0.882
Overall,7477,473,295,49358,0.9294285714285714,0.8822857142857142,0.9045285714285713,0.9866571428571429,0.019885714285714284,0.08645714285714286,0.9370000000000002,0.7998571428571429
