Class,TP,FP,FN,TN,Precision,Recall,F1 Score,Accuracy,FPR,FNR,mAP@0.5,mAP@0.5:0.95
Car,5565,392,115,2396,0.963,0.971,0.967,0.9401,0.1406,0.0202,0.987,0.911
Van,541,52,22,7853,0.959,0.957,0.958,0.9913,0.0066,0.0391,0.983,0.905
Truck,190,11,8,8259,0.974,0.947,0.9603,0.9978,0.0013,0.0404,0.984,0.917
Pedestrian,824,202,72,7370,0.935,0.868,0.9003,0.9676,0.0267,0.0804,0.926,0.612
Person_sitting,26,11,4,8427,0.778,0.767,0.7725,0.9982,0.0013,0.1333,0.772,0.606
Cyclist,279,40,27,8122,0.938,0.908,0.9228,0.9921,0.0049,0.0882,0.953,0.8
Tram,95,9,4,8360,0.95,0.949,0.9495,0.9985,0.0011,0.0404,0.973,0.89
Overall,7520,717,252,50787,0.9281428571428572,0.9095714285714286,0.9186285714285712,0.9836571428571428,0.02607142857142857,0.06314285714285714,0.9397142857142857,0.8058571428571428
